Rank,Seed,Pair Name,Beginner,Mentor,Wins,Losses,Ties,Win Pct,Points For,Points Against,Avg Points,Upset Bonus Wins,Weighted Score Total
1,1,davidleechy & richardhermanto,davidleechy,richardhermanto,4.5,0.0,0.0,1.0,590.78,462.12,295.39,1,288.76
2,2,clee4144 & christineypoo,christineypoo,clee4144,3.5,1.0,0.0,0.778,622.76,465.72,311.38,1,296.35
3,3,bobop & zimi,bobop1,zimiiiiiiii,2.0,2.0,0.0,0.5,478.22,493.48,239.11,0,240.98
4,4,skylar & eunchaeluvr,skylar9ook,drakemayeluvr1,1.5,3.0,0.0,0.333,513.22,599.64,256.61,1,275.88
5,Eliminated,jacky33 & rachellee2,rachellee2,jacky33,0.0,4.0,0.0,0.0,423.2,607.22,211.6,0,191.65
